From,To,Time,From Addr,From city,To Addr,To city
8,5,0.26944444444444443,Pune,Pune,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
8,6,5.041944444444445,Pune,Pune,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
8,7,23.368333333333332,Pune,Pune,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
8,8,0,Pune,Pune,Pune,Pune
8,9,3.8666666666666667,Pune,Pune,Mumbai,Mumbai
8,10,35.916666666666664,Pune,Pune,Delhi,Delhi
8,11,12.7,Pune,Pune,Bangalore,Bangalore
8,12,75.03333333333333,Pune,Pune,Kolkatta,Kolkatta
9,1,4.600833333333333,Mumbai,Mumbai,"Warje, Pune, Maharashtra 411058, India",Pune
9,2,1.5163888888888888,Mumbai,Mumbai,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
9,3,25.66,Mumbai,Mumbai,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
9,4,3.9833333333333334,Mumbai,Mumbai,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
9,5,4.392222222222222,Mumbai,Mumbai,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
9,6,2.3155555555555556,Mumbai,Mumbai,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
9,7,26.118333333333332,Mumbai,Mumbai,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
9,8,3.8666666666666667,Mumbai,Mumbai,Pune,Pune
9,9,0,Mumbai,Mumbai,Mumbai,Mumbai
9,10,33.02111111111111,Mumbai,Mumbai,Delhi,Delhi
9,11,16.616666666666667,Mumbai,Mumbai,Bangalore,Bangalore
9,12,79.95,Mumbai,Mumbai,Kolkatta,Kolkatta
10,1,29.060277777777777,Delhi,Delhi,"Warje, Pune, Maharashtra 411058, India",Pune
10,2,30.169722222222223,Delhi,Delhi,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
10,3,62.24888888888889,Delhi,Delhi,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
10,4,29.308888888888887,Delhi,Delhi,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
10,5,29.224444444444444,Delhi,Delhi,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
10,6,31.29111111111111,Delhi,Delhi,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
10,7,61.451388888888886,Delhi,Delhi,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
10,8,25.685555555555556,Delhi,Delhi,Pune,Pune
10,9,28.356666666666666,Delhi,Delhi,Mumbai,Mumbai
10,10,0,Delhi,Delhi,Delhi,Delhi
10,11,45.02333333333333,Delhi,Delhi,Bangalore,Bangalore
10,12,40.0325,Delhi,Delhi,Kolkatta,Kolkatta
11,1,13.299444444444445,Bangalore,Bangalore,"Warje, Pune, Maharashtra 411058, India",Pune
11,2,16.467222222222222,Bangalore,Bangalore,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
11,3,7.275,Bangalore,Bangalore,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
11,4,15.065,Bangalore,Bangalore,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
11,5,13.405555555555555,Bangalore,Bangalore,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
11,6,17.02027777777778,Bangalore,Bangalore,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
11,7,6.868333333333333,Bangalore,Bangalore,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
11,8,12.616666666666667,Bangalore,Bangalore,Pune,Pune
11,9,15.95,Bangalore,Bangalore,Mumbai,Mumbai
11,10,37.07,Bangalore,Bangalore,Delhi,Delhi
11,11,0,Bangalore,Bangalore,Bangalore,Bangalore
11,12,43.265,Bangalore,Bangalore,Kolkatta,Kolkatta
12,1,53.88,Kolkatta,Kolkatta,"Warje, Pune, Maharashtra 411058, India",Pune
12,2,,Kolkatta,Kolkatta,"Shivaji Park, Dadar West, Mumbai, Maharashtra 400028, India",Mumbai
12,3,57.03277777777778,Kolkatta,Kolkatta,"Boat Club Road, Boat Club, Chennai, Tamil Nadu 600028, India",Chennai
12,4,56.57333333333333,Kolkatta,Kolkatta,"Veritas, Baner Road, Baner, Pune, Maharashtra 411045, India",Pune - Baner
12,5,53.218333333333334,Kolkatta,Kolkatta,"Prabhat Road, Kothrud, Pune, Maharashtra 411038, India",Pune - Kothrud
12,6,,Kolkatta,Kolkatta,"Wankhede Stadium, D Road, Marine Lines, Mumbai, Maharashtra 400020, India",Churchgate
12,7,56.535,Kolkatta,Kolkatta,"Adyar, Chennai, Tamil Nadu 600020, India",Chennai
12,8,53.2,Kolkatta,Kolkatta,Pune,Pune
12,9,,Kolkatta,Kolkatta,Mumbai,Mumbai
12,10,,Kolkatta,Kolkatta,Delhi,Delhi
12,11,60.17777777777778,Kolkatta,Kolkatta,Bangalore,Bangalore
12,12,0,Kolkatta,Kolkatta,Kolkatta,Kolkatta
